capability_id,domain,category,group,canonical_capability,support_count,confidence,definition,related_naics_families,observed_unspsc_codes
construction.general_building,Construction and Infrastructure,Building Construction,General Building,General Building Construction and Renovation,12,HIGH,"Construction, renovation, remodeling, stabilization, or major improvement of buildings and occupied facilities.",23 Construction | 2362 Nonresidential Building Construction,72101500 | 72121100 | 72121400 | 72141000 | 72141100
construction.job_order,Construction and Infrastructure,Building Construction,Job Order Contracting,Job Order Contracting,2,MODERATE,Indefinite-delivery construction performed through competitively awarded job order contracts.,23 Construction | 2362 Nonresidential Building Construction,72121400 | 72121406
construction.roadway,Construction and Infrastructure,Transportation Infrastructure,Roadways,Roadway Construction and Rehabilitation,11,HIGH,"Construction, widening, realignment, resurfacing, paving, and rehabilitation of roads, runways, and related pavement.","23 Construction | 2373 Highway, Street, and Bridge Construction",72121100 | 72141000
construction.bridge_structures,Construction and Infrastructure,Transportation Infrastructure,Structures,Bridge and Structural Transportation Construction,3,HIGH,"Construction, replacement, modification, or rehabilitation of bridges and major transportation structures.","23 Construction | 2373 Highway, Street, and Bridge Construction",70131500 | 72141000 | 72141100
construction.traffic_safety,Construction and Infrastructure,Transportation Infrastructure,Traffic Systems,"Traffic Signals, Lighting, Barriers, and Roadside Safety",9,HIGH,"Installation, repair, and modification of traffic signals, roadway lighting, barriers, guardrails, striping, signs, and detector systems.","23 Construction | 2373 Highway, Street, and Bridge Construction | 2382 Building Equipment Contractors",30121717 | 32101519 | 46161525 | 72141002 | 72151306
construction.utility_locating,Construction and Infrastructure,Utility Infrastructure,Subsurface Utilities,Utility Locating and Potholing,2,MODERATE,Positive location and exposure of underground utilities using potholing or equivalent subsurface investigation methods.,"23 Construction | 2371 Utility System Construction | 54 Professional, Scientific, and Technical Services",26121514 | 72141126 | 81101522
construction.water_wastewater,Construction and Infrastructure,Water Infrastructure,Water and Wastewater,Water and Wastewater Infrastructure Construction,6,HIGH,"Construction, replacement, or modernization of wells, potable-water systems, wastewater plants, canals, and utility distribution systems.",23 Construction | 2371 Utility System Construction,72101500 | 72111100 | 72152800 | 83101504
construction.demolition,Construction and Infrastructure,Site Work,Demolition,Demolition and Site Clearance,5,HIGH,"Demolition, dismantling, removal, and clearance of buildings, structures, tanks, or site improvements.",23 Construction | 2389 Other Specialty Trade Contractors,22102000 | 22102001 | 72141510 | 72154025 | 76101602
construction.roofing,Construction and Infrastructure,Building Envelope,Roofing,Roof Replacement and Structural Roof Work,2,MODERATE,"Full roof replacement and structural roof reconstruction, distinct from routine roof maintenance.","23 Construction | 2381 Foundation, Structure, and Building Exterior Contractors",72101500 | 72152601
construction.windows_doors,Construction and Infrastructure,Building Envelope,Openings,"Windows, Doors, and Accessibility Improvements",7,HIGH,"Repair, replacement, installation, or modernization of windows, glazing, doors, grilles, booths, and accessibility door operators.","23 Construction | 2381 Foundation, Structure, and Building Exterior Contractors",30171600 | 72152400 | 72152401 | 72153608 | 72154032
construction.flooring,Construction and Infrastructure,Interior Construction,Flooring,Flooring Installation and Replacement,3,HIGH,"Installation, replacement, repair, or rehabilitation of floor systems and walkways.",23 Construction | 2383 Building Finishing Contractors,72152500 | 72154011
construction.hvac_install,Construction and Infrastructure,Mechanical Systems,HVAC,HVAC Installation and Replacement,5,HIGH,"Installation, major replacement, or modernization of HVAC, chiller, cooling-tower, and makeup-air systems.",23 Construction | 2382 Building Equipment Contractors,72151200
construction.electrical,Construction and Infrastructure,Electrical Systems,Electrical Construction,Electrical Upgrades and Installation,5,HIGH,"Installation or major upgrade of electrical distribution, lighting, switchgear, solar, storage, and power systems.",23 Construction | 2382 Building Equipment Contractors,72151506 | 72151509 | 81101508
construction.ev_charging,Construction and Infrastructure,Electrical Infrastructure,Electric Vehicles,EV Charging Infrastructure Installation,5,HIGH,"Installation, connection, and construction of electric-vehicle charging equipment and supporting electrical infrastructure.",23 Construction | 2382 Building Equipment Contractors,25175002 | 25175003 | 72141126 | 72151500
construction.fire_life_safety,Construction and Infrastructure,Life Safety Systems,Fire Protection,Fire Alarm and Suppression System Installation,4,HIGH,"Installation, replacement, or major upgrade of fire alarm, sprinkler, and suppression systems.",23 Construction | 2382 Building Equipment Contractors,48101820 | 72101509 | 92121702
construction.elevator_modernization,Construction and Infrastructure,Vertical Transportation,Elevators,Elevator Modernization,1,MODERATE,"Major modernization or replacement of elevator controls, machinery, cabs, and supporting systems.",23 Construction | 2382 Building Equipment Contractors,72154010
construction.medical_equipment_install,Construction and Infrastructure,Specialty Installation,Medical Facilities,Medication Dispensing Equipment Installation,2,MODERATE,Construction and specialty installation associated with medication dispensing units in healthcare facilities.,23 Construction | 2382 Building Equipment Contractors,72141402
construction.fence,Construction and Infrastructure,Site Improvements,Fencing,Fence Repair and Installation,1,MODERATE,"Repair, replacement, or installation of fences and related site-security barriers.",23 Construction | 2389 Other Specialty Trade Contractors,72154013
