capability_id,domain,category,group,canonical_capability,support_count,confidence,definition,related_naics_families,observed_unspsc_codes
professional.engineering,Professional and Business Services,Architecture and Engineering,Engineering,Architecture and Engineering Services,6,HIGH,"Professional architectural, civil, structural, mechanical, electrical, landscape, and multidisciplinary engineering services.","54 Professional, Scientific, and Technical Services | 5413 Architectural, Engineering, and Related Services",81101500 | 81101508 | 81101600 | 81101700
professional.construction_management,Professional and Business Services,Program and Project Management,Construction Management,Construction Management Services,1,MODERATE,"Owner-side management, coordination, inspection, scheduling, and administration of construction projects.","54 Professional, Scientific, and Technical Services | 5416 Management, Scientific, and Technical Consulting Services",
professional.geotechnical_drilling,Professional and Business Services,Geotechnical and Earth Sciences,Exploration,Geological Exploration and Sonic Drilling,1,MODERATE,"Geological exploration and subsurface drilling performed for investigation, sampling, or engineering support.","21 Mining, Quarrying, and Oil and Gas Extraction | 54 Professional, Scientific, and Technical Services",20111600
professional.environmental,Professional and Business Services,Environmental Consulting,Compliance and Planning,Environmental and CEQA Consulting,5,HIGH,"Environmental assessment, monitoring, planning, regulatory compliance, reporting, and remediation advisory services.","54 Professional, Scientific, and Technical Services | 5416 Management, Scientific, and Technical Consulting Services",77101805 | 77102000 | 77121707 | 81101508
professional.environmental_due_diligence,Professional and Business Services,Environmental Consulting,Due Diligence,Environmental and Property Due Diligence,1,MODERATE,"Investigation of potentially responsible parties, chain of title, contamination history, and property-related liability.","54 Professional, Scientific, and Technical Services | 5416 Management, Scientific, and Technical Consulting Services",77101900 | 77131700 | 80121700 | 80131700
professional.strategic_planning,Professional and Business Services,Management Consulting,Strategy,Strategic Planning and Organizational Development,3,HIGH,"Enterprise strategy, governance, team development, organizational assessment, and operating-model advisory services.","54 Professional, Scientific, and Technical Services | 5416 Management, Scientific, and Technical Consulting Services",80101504 | 80101508
professional.health_consulting,Professional and Business Services,Healthcare Consulting,Clinical and Program Advisory,"Health, Medical, and Pharmaceutical Consulting",4,HIGH,"Advisory services provided by medical, pharmaceutical, public-health, or health-program subject-matter experts.","54 Professional, Scientific, and Technical Services | 5416 Management, Scientific, and Technical Consulting Services | 62 Health Care and Social Assistance",85101503 | 85121502 | 85131600 | 85131701
professional.investment,Professional and Business Services,Financial Advisory,Investment,"Investment, Valuation, and Due Diligence Consulting",3,HIGH,"Investment portfolio advisory, fiduciary due diligence, valuation management, and related financial consulting.",52 Finance and Insurance | 5239 Other Financial Investment Activities,
professional.audit_fiscal,Professional and Business Services,Financial Services,Audit and Fiscal Administration,Audit and Fiscal Agent Services,2,MODERATE,"External audit, program-fund administration, fiscal-agent, and related financial-control services.","54 Professional, Scientific, and Technical Services | 5412 Accounting, Tax Preparation, Bookkeeping, and Payroll Services",84111600 | 84111601
professional.government_relations,Professional and Business Services,Public Affairs,Government Relations,Government Relations and Advocacy,2,MODERATE,"Legislative, regulatory, intergovernmental, and federal advocacy services.","54 Professional, Scientific, and Technical Services | 5418 Advertising, Public Relations, and Related Services",80171906 | 93111600
professional.commercial_card,Professional and Business Services,Financial Services,Payment Services,Commercial Card Services,1,MODERATE,"Commercial payment-card, purchasing-card, or related transaction services for public entities.",52 Finance and Insurance | 5223 Activities Related to Credit Intermediation,84141602
professional.research_evaluation,Professional and Business Services,Research Services,Research and Evaluation,"Research, Survey, and Program Evaluation",4,HIGH,"Qualitative and quantitative research, focus groups, surveys, demographic data collection, and program evaluation.","54 Professional, Scientific, and Technical Services | 5419 Other Professional, Scientific, and Technical Services",80101508 | 80101603 | 80141507 | 86132212
professional.real_estate_services,Professional and Business Services,Real Estate Services,Transactions,"Title, Escrow, and Real Estate Services",3,HIGH,"Title research, escrow, closing, and real-estate transaction support.",53 Real Estate and Rental and Leasing | 5313 Activities Related to Real Estate,80131700 | 93151518
professional.legal,Professional and Business Services,Legal Services,Representation,Legal and Public Defender Services,1,MODERATE,Legal representation and public-defender services provided to government or eligible clients.,"54 Professional, Scientific, and Technical Services | 5411 Legal Services",
professional.language_access,Professional and Business Services,Language and Accessibility,Interpretation and Captioning,"Interpretation, Captioning, and Hearing Reporting",5,HIGH,"Spoken-language, sign-language, real-time captioning, hearing reporting, and related accessibility services.","54 Professional, Scientific, and Technical Services | 5419 Other Professional, Scientific, and Technical Services",52161562 | 82112067 | 90121700
professional.marketing,Professional and Business Services,Marketing and Communications,Outreach,"Marketing, Communications, Outreach, and Advertising",3,HIGH,"Strategic communications, advertising, public outreach, awareness, and campaign support.","54 Professional, Scientific, and Technical Services | 5418 Advertising, Public Relations, and Related Services",80141500 | 82101800 | 82101900 | 93141708
professional.media,Professional and Business Services,Creative Services,Media Production,Videography and Educational Media Production,1,MODERATE,Live-action video production and educational media services.,51 Information | 5121 Motion Picture and Video Industries,82131603
professional.program_admin,Professional and Business Services,Program Administration,Technical Assistance,Program Administration and Technical Assistance,3,HIGH,"Administration, technical assistance, coordination, planning, and implementation support for public programs.","54 Professional, Scientific, and Technical Services | 5416 Management, Scientific, and Technical Consulting Services",80171907 | 86132100 | 86132102
professional.energy_project_development,Professional and Business Services,Energy Advisory,Project Development,Energy Resiliency and Asset Commercialization Development,1,MODERATE,"Private-sector project identification, due diligence, development, and commercialization for corridor-wide energy-resiliency assets.","54 Professional, Scientific, and Technical Services | 5416 Management, Scientific, and Technical Consulting Services | 22 Utilities",81101516 | 83101900 | 83101901 | 83101902
