capability_id,domain,category,group,canonical_capability,support_count,confidence,definition,related_naics_families,observed_unspsc_codes
facilities.greywater,Facilities and Operational Services,Water Operations,Greywater Systems,Greywater System Maintenance and Repair,1,MODERATE,Preventive maintenance and repair of greywater recovery or reuse systems.,81 Other Services | 8113 Commercial and Industrial Machinery and Equipment Repair and Maintenance,72154102
facilities.septic,Facilities and Operational Services,Wastewater Operations,Septic Systems,"Septic Pumping, Inspection, and Maintenance",6,HIGH,"Pumping, inspection, servicing, maintenance, and disposal for septic tanks and onsite wastewater systems.",56 Administrative and Support and Waste Management and Remediation Services | 5629 Remediation and Other Waste Management Services,47101531 | 76121500 | 76121701 | 76121900
facilities.sewer_drain,Facilities and Operational Services,Wastewater Operations,Sewer and Drain,"Sewer, Storm Drain, and Brine Line Cleaning",2,MODERATE,"Inspection, video recording, cleaning, and maintenance of sewer, storm-drain, and brine-line systems.",56 Administrative and Support and Waste Management and Remediation Services | 5629 Remediation and Other Waste Management Services,72154055 | 81141807
facilities.vacuum_pumping,Facilities and Operational Services,Wastewater Operations,Pumping,Vacuum Pumping Services,1,MODERATE,"Vacuum pumping and removal of wastewater, sludge, or related materials.",56 Administrative and Support and Waste Management and Remediation Services | 5629 Remediation and Other Waste Management Services,
facilities.tank_services,Facilities and Operational Services,Storage Systems,Tanks,Fuel and Storage Tank Inspection and Maintenance,2,MODERATE,"Inspection, testing, maintenance, and repair of fuel tanks and aboveground storage tanks.",81 Other Services | 8113 Commercial and Industrial Machinery and Equipment Repair and Maintenance,24111808 | 25172400 | 72154056 | 78181701
facilities.equipment_maintenance,Facilities and Operational Services,Equipment Maintenance,General Equipment,Specialized Equipment Maintenance and Repair,10,HIGH,"Preventive maintenance, inspection, repair, and parts replacement for specialized operational equipment, excluding medical equipment.",81 Other Services | 8113 Commercial and Industrial Machinery and Equipment Repair and Maintenance,24101603 | 24101661 | 25191740 | 47121600 | 72154501 | 81102402
facilities.equipment_inspection_certification,Facilities and Operational Services,Equipment Maintenance,Inspection and Certification,Equipment Inspection and Certification,1,MODERATE,"Formal inspection, proof-load testing, dielectric testing, and certification of cranes or similar regulated equipment.","54 Professional, Scientific, and Technical Services | 5413 Architectural, Engineering, and Related Services",72154502
facilities.calibration,Facilities and Operational Services,Technical Maintenance,Calibration,Calibration and Metrology Services,3,HIGH,"Calibration, verification, and laboratory measurement services for instruments and equipment.","54 Professional, Scientific, and Technical Services | 5413 Architectural, Engineering, and Related Services",41111505 | 81141504
facilities.pest_control,Facilities and Operational Services,Environmental Operations,Pest Management,Pest Control and Wildlife Removal,4,HIGH,"Integrated pest control, wildlife removal, and related abatement services.",56 Administrative and Support and Waste Management and Remediation Services | 5617 Services to Buildings and Dwellings,10191700 | 72102100 | 72102103
facilities.hazmat_abatement,Facilities and Operational Services,Environmental Operations,Hazardous Materials,"Asbestos, Lead, Mold, and Hazardous Material Abatement",3,HIGH,"Assessment, containment, removal, remediation, and disposal of asbestos, lead, mold, and similar hazards.",56 Administrative and Support and Waste Management and Remediation Services | 5629 Remediation and Other Waste Management Services,76101602 | 76101604
facilities.waste_management,Facilities and Operational Services,Waste Operations,Waste and Recycling,"Waste Collection, Recycling, Destruction, and Disposal",10,HIGH,"Collection, hauling, recycling, secure destruction, cleanup, and disposal of solid, hazardous, biohazard, and recyclable materials.",56 Administrative and Support and Waste Management and Remediation Services | 5621 Waste Collection | 5622 Waste Treatment and Disposal | 5629 Remediation and Other Waste Management Services,76121500 | 76121501 | 76121900 | 76122300 | 76122404 | 80161508
facilities.portable_sanitation,Facilities and Operational Services,Sanitation Services,Portable Sanitation,Portable Toilet Rental and Servicing,2,MODERATE,"Rental, delivery, cleaning, pumping, and servicing of portable sanitation units.",53 Real Estate and Rental and Leasing | 5324 Commercial and Industrial Machinery and Equipment Rental and Leasing | 56 Administrative and Support,76121502 | 80131506 | 95131602
facilities.coatings,Facilities and Operational Services,Surface Maintenance,Protective Coatings,Protective Coating Services,1,MODERATE,"Application, repair, or renewal of industrial or protective coatings.",23 Construction | 2383 Building Finishing Contractors,76101603
facilities.dam_water_structure,Facilities and Operational Services,Infrastructure Maintenance,Water Structures,"Dam, Canal, and Spillway Maintenance",2,MODERATE,"Maintenance, modification, and repair of dams, canals, spillways, and hydraulic control structures.",23 Construction | 2379 Other Heavy and Civil Engineering Construction,72141213 | 72152700 | 72153400
facilities.pipe_hydrant,Facilities and Operational Services,Plumbing and Water Systems,Pipes and Hydrants,Pipe and Fire Hydrant Replacement,2,MODERATE,Replacement and repair of piping and fire hydrants serving facilities or sites.,23 Construction | 2382 Building Equipment Contractors,40141726 | 72101510
facilities.cable_tv,Facilities and Operational Services,Communications Infrastructure,Cable Systems,Cable Television Infrastructure Services,1,MODERATE,"Installation, repair, or support of cable-television distribution infrastructure in institutional facilities.",23 Construction | 2382 Building Equipment Contractors | 51 Information,83111801
