capability_id,domain,category,group,canonical_capability,support_count,confidence,definition,related_naics_families,observed_unspsc_codes
facilities.janitorial,Facilities and Operational Services,Cleaning Services,Janitorial,Janitorial and Custodial Services,9,HIGH,"Recurring interior building cleaning, custodial, sanitation, and related facility-cleaning services.",56 Administrative and Support and Waste Management and Remediation Services | 5617 Services to Buildings and Dwellings,76111500 | 76111501 | 76111600
facilities.exterior_cleaning,Facilities and Operational Services,Cleaning Services,Exterior Cleaning,Sweeping and Pressure Washing,1,MODERATE,"Exterior property sweeping, pressure washing, and hardscape cleaning.",56 Administrative and Support and Waste Management and Remediation Services | 5617 Services to Buildings and Dwellings,72103304 | 76111501
facilities.landscape,Facilities and Operational Services,Grounds Services,Landscaping,Landscape Maintenance,2,MODERATE,"Recurring landscape cleanup, grounds maintenance, and related outdoor property services.",56 Administrative and Support and Waste Management and Remediation Services | 5617 Services to Buildings and Dwellings,72102902 | 76111506
facilities.vegetation,Facilities and Operational Services,Grounds Services,Vegetation,Tree and Vegetation Management,3,HIGH,"Tree trimming, pruning, removal, vegetation reduction, and vegetation-management planning.","56 Administrative and Support and Waste Management and Remediation Services | 5617 Services to Buildings and Dwellings | 11 Agriculture, Forestry, Fishing and Hunting",70111503 | 70111506 | 76121503
facilities.hvac_maintenance,Facilities and Operational Services,Mechanical Maintenance,HVAC,HVAC and Chiller Maintenance,4,HIGH,"Preventive maintenance, inspection, service, and repair of HVAC and chiller systems.",81 Other Services | 8113 Commercial and Industrial Machinery and Equipment Repair and Maintenance | 23 Construction,40101704 | 72101511 | 72103300 | 72151200
facilities.chiller_rental,Facilities and Operational Services,Mechanical Maintenance,Equipment Rental,Chiller Rental,1,MODERATE,Rental and associated support of temporary or replacement chiller equipment.,53 Real Estate and Rental and Leasing | 5324 Commercial and Industrial Machinery and Equipment Rental and Leasing,72151200
facilities.elevator_maintenance,Facilities and Operational Services,Vertical Transportation,Elevators,Elevator Maintenance and Repair,2,MODERATE,"Preventive maintenance, inspection, and repair of elevators and vertical-transportation equipment.",81 Other Services | 8113 Commercial and Industrial Machinery and Equipment Repair and Maintenance,72101506
facilities.roof_maintenance,Facilities and Operational Services,Building Envelope Maintenance,Roofing,Roof Maintenance,5,HIGH,Routine and corrective roof maintenance that does not constitute full roof replacement.,"23 Construction | 2381 Foundation, Structure, and Building Exterior Contractors",72152600 | 72152601
facilities.fire_alarm_maintenance,Facilities and Operational Services,Life Safety Maintenance,Fire Alarm,"Fire Alarm Monitoring, Inspection, and Repair",3,HIGH,"Monitoring, annual inspection, maintenance, and repair of fire and intrusion alarm systems.",56 Administrative and Support and Waste Management and Remediation Services | 5616 Investigation and Security Services | 81 Other Services,46191505 | 72151700 | 92121701
facilities.fire_suppression_maintenance,Facilities and Operational Services,Life Safety Maintenance,Fire Suppression,Fire Sprinkler and Suppression System Services,4,HIGH,"Inspection, maintenance, testing, and service of fire sprinklers, kitchen-hood suppression, and related systems.",23 Construction | 2382 Building Equipment Contractors,46191500 | 72101509
facilities.security_systems,Facilities and Operational Services,Security Systems,Access and Surveillance,Access Control and CCTV Systems,2,MODERATE,"Installation, maintenance, or repair of physical access-control, surveillance, and CCTV systems.",23 Construction | 2382 Building Equipment Contractors | 56 Administrative and Support and Waste Management and Remediation Services,46171619 | 46171622
facilities.electrical_equipment,Facilities and Operational Services,Electrical Maintenance,Power Equipment,Electrical Equipment Testing and Maintenance,2,MODERATE,"Testing, inspection, maintenance, and repair of high-voltage equipment and switchgear.",81 Other Services | 8113 Commercial and Industrial Machinery and Equipment Repair and Maintenance,72151506 | 81102402
facilities.generator_ups,Facilities and Operational Services,Electrical Maintenance,Backup Power,Generator and UPS Maintenance,3,HIGH,"Maintenance, testing, inspection, repair, or replacement of generators and uninterruptible power systems.",81 Other Services | 8113 Commercial and Industrial Machinery and Equipment Repair and Maintenance,72101518
facilities.building_automation,Facilities and Operational Services,Building Systems,Automation,Building Automation and Energy Management Systems,2,MODERATE,"Upgrade, operation, maintenance, or support of building automation and energy-management control systems.","23 Construction | 2382 Building Equipment Contractors | 54 Professional, Scientific, and Technical Services",32151500 | 72151500
facilities.water_treatment,Facilities and Operational Services,Water Operations,Treatment Systems,Water Treatment System Operations and Maintenance,2,MODERATE,"Operation, maintenance, repair, and servicing of water-treatment plants and treatment equipment.","22 Utilities | 2213 Water, Sewage and Other Systems | 81 Other Services",47101500 | 47101531 | 83101506
facilities.water_testing,Facilities and Operational Services,Environmental Health,Water Quality,"Water Testing, Legionella, and Remediation",3,HIGH,"Sampling, laboratory analysis, management planning, and remediation related to water quality and Legionella.","54 Professional, Scientific, and Technical Services | 5413 Architectural, Engineering, and Related Services | 5416 Management, Scientific, and Technical Consulting Services",41113319 | 70171602
